Y,X
0.0,0
1.0,0
2.0,0
3.0,0
4.0,0
5.0,0
6.0,0
7.0,0
8.0,0
9.0,0
10.0,0
11.0,0
12.0,0
13.0,0
14.0,0
15.0,0
16.0,0
17.0,0
18.0,0
19.0,0
20.0,0
21.0,0
22.0,0
23.0,0
24.0,0
25.0,0
26.0,0
27.0,0
28.0,0
29.0,0
30.0,0
31.0,0
32.0,0
33.0,0
34.0,0
35.0,0
36.0,0
37.0,0
38.0,0
39.0,0
40.0,0
41.0,0
42.0,0
43.0,0
44.0,0
45.0,0
46.0,0
47.0,0
48.0,0
49.0,0
50.0,0
51.0,0
52.0,0
53.0,0
54.0,0
55.0,0
56.0,0
57.0,0
58.0,0
59.0,0
60.0,0
61.0,0
62.0,0
63.0,0
64.0,0
65.0,0
66.0,0
67.0,0
68.0,0
69.0,0
70.0,0
71.0,0
72.0,0
73.0,0
74.0,0
75.0,0
76.0,0
77.0,0
78.0,0
79.0,0
80.0,0
81.0,0
82.0,0
83.0,0
84.0,0
85.0,0
86.0,0
87.0,0
88.0,0
89.0,0
90.0,0
91.0,0
92.0,0
93.0,0
94.0,0
95.0,0
96.0,0
97.0,0
98.0,0
99.0,0
100.0,0
101.0,0
102.0,0
103.0,0
104.0,0
105.0,0
106.0,0
107.0,0
108.0,0
109.0,0
110.0,0
111.0,0
112.0,0
113.0,0
114.0,0
115.0,0
116.0,0
117.0,0
118.0,0
119.0,0
120.0,0
121.0,0
122.0,0
123.0,0
124.0,0
125.0,0
126.0,0
127.0,0
128.0,0
129.0,0
130.0,0
131.0,0
132.0,0
133.0,0
134.0,0
135.0,0
136.0,0
137.0,0
138.0,0
139.0,0
140.0,0
141.0,0
142.0,0
143.0,0
144.0,0
145.0,0
146.0,0
147.0,0
148.0,0
149.0,0
150.0,0
151.0,0
152.0,0
153.0,0
154.0,0
155.0,0
156.0,0
157.0,0
158.0,0
159.0,0
160.0,0
161.0,0
162.0,0
163.0,0
164.0,0
165.0,0
166.0,0
167.0,0
168.0,0
169.0,0
170.0,0
171.0,0
172.0,0
173.0,0
174.0,0
175.0,0
176.0,0
177.0,0
178.0,0
179.0,0
180.0,0
181.0,0
182.0,0
183.0,0
184.0,0
185.0,0
186.0,0
187.0,0
188.0,0
189.0,0
190.0,0
191.0,0
192.0,0
193.0,0
194.0,0
195.0,0
196.0,0
197.0,0
198.0,0
199.0,0
200.0,0
201.0,0
202.0,0
203.0,0
204.0,0
205.0,0
206.0,0
207.0,0
208.0,0
209.0,0
210.0,0
211.0,0
212.0,0
213.0,0
214.0,0
215.0,0
216.0,0
217.0,0
218.0,0
219.0,0
220.0,0.04787162691942554
221.0,0.4275465739470071
222.0,0.787616444001211
223.0,1.1312422676112024
224.0,1.4608312949368802
225.0,1.7782670119661563
226.0,2.0850561155183547
227.0,2.3824263865263453
228.0,2.671394133794943
229.0,2.952812028117963
230.0,3.227403874438183
231.0,3.49579043310053
232.0,3.7585089545169454
233.0,4.016028202256124
234.0,4.268760176111478
235.0,4.517069380052207
236.0,4.761280235665382
237.0,5.001683075444818
238.0,5.238539034966217
239.0,5.472084081614357
240.0,5.702532359200568
241.0,5.930078985398355
242.0,6.1549024076812895
243.0,6.37716640015147
244.0,6.597021766081839
245.0,6.814607797614947
246.0,7.0300535337694345
247.0,7.243478849918796
248.0,7.454995405658004
249.0,7.664707473044393
250.0,7.872712663284643
251.0,8.07910256680736
252.0,8.283963319139222
253.0,8.487376102961251
254.0,8.689417595056693
255.0,8.890160365500174
256.0,9.089673235315274
257.0,9.288021597899133
258.0,9.485267708741693
259.0,9.681470947322127
260.0,9.876688054525806
261.0,10.07097334847033
262.0,10.264378921244836
263.0,10.456954818742302
264.0,10.648749205486821
265.0,10.83980851612225
266.0,11.030177595026192
267.0,11.219899825340272
268.0,11.409017248558385
269.0,11.597570675685702
270.0,11.785599790870979
271.0,11.973143248318022
272.0,12.160238763199077
273.0,12.346923197221233
274.0,12.533232639433564
275.0,12.71920248280943
276.0,12.904867497090343
277.0,13.090261898338003
278.0,13.27541941560577
279.0,13.460373355109779
280.0,13.645156662256584
281.0,13.829801981859738
282.0,14.014341716861622
283.0,14.19880808586165
284.0,14.383233179739536
285.0,14.56764901765489
286.0,14.752087602697294
287.0,14.936580977458163
288.0,15.121161279794913
289.0,15.305860799059724
290.0,15.490712033069581
291.0,15.67574774610173
292.0,15.861001028208053
293.0,16.04650535615562
294.0,16.23229465631598
295.0,16.418403369845255
296.0,16.604866520522094
297.0,16.791719785634914
298.0,16.978999570345007
299.0,17.16674308598774
300.0,17.354988432817684
301.0,17.543774687753675
302.0,17.733141997737242
303.0,17.92313167938422
304.0,18.113786325686135
305.0,18.305149920606226
306.0,18.497267962516936
307.0,18.690187597544135
308.0,18.883957764019527
309.0,19.07862934940223
310.0,19.274255361214742
311.0,19.47089111375481
312.0,19.668594432596713
313.0,19.867425879191927
314.0,20.06744776889521
315.0,20.268652404980056
316.0,20.470917068662363
317.0,20.67410220099878
318.0,20.878061476911718
319.0,21.08264273537968
320.0,21.28768902880111
321.0,21.493039773240703
322.0,21.698531977190697
323.0,21.904001523202083
324.0,22.10928447448278
325.0,22.31421837747967
326.0,22.51864353163507
327.0,22.722404198926203
328.0,22.925349728352664
329.0,23.127335574060222
330.0,23.32822419003989
331.0,23.527885789045833
332.0,23.72619895825324
333.0,23.923051128957
334.0,24.118338902056465
335.0,24.31196823499634
336.0,24.50385449910335
337.0,24.693922418803034
338.0,24.8821059060007
339.0,25.06834780399304
340.0,25.252599555706823
341.0,25.434820810927484
342.0,25.61497898658576
343.0,25.793048793223818
344.0,25.969011739565037
345.0,26.142855625761563
346.0,26.31457403447108
347.0,26.48416582748691
348.0,26.65163465426818
349.0,26.816988477424236
350.0,26.98023911903044
351.0,27.141401830601357
352.0,27.30049488863218
353.0,27.457539216837034
354.0,27.612558035558845
355.0,27.76557653829139
356.0,27.916621594826854
357.0,28.065721480211987
358.0,28.212905628448276
359.0,28.358204409694924
360.0,28.501648929617055
361.0,28.64327084945361
362.0,28.783102225351676
363.0,28.921175365517495
364.0,29.057522703762736
365.0,29.19217668807039
366.0,29.325169682864523
367.0,29.45653388373717
368.0,29.58630124345912
369.0,29.714503408179706
370.0,29.84117166279831
371.0,29.96633688456809
372.0,30.09003181627763
373.0,30.212309441883686
374.0,30.333230780522438
375.0,30.452852913890318
376.0,30.57122923303062
377.0,30.688409765418545
378.0,30.80444146574264
379.0,30.919368475188154
380.0,31.033232353294068
381.0,31.146072285847872
382.0,31.25792527177659
383.0,31.368826291570556
384.0,31.478808459422137
385.0,31.587903160963467
386.0,31.696140178234792
387.0,31.803547803301065
388.0,31.910152941752486
389.0,32.015981207168124
390.0,32.12105700748901
391.0,32.22540362413183
392.0,32.32904328457541
393.0,32.431997229066376
394.0,32.534285772016325
